subject,f1,acc
1,0.6666666666666666,0.6666666666666666
2,0.5555555555555556,0.5555555555555556
4,0.47222222222222215,0.4722222222222222
5,0.7222222222222222,0.7222222222222222
6,0.6388888888888888,0.6388888888888888
8,0.7222222222222222,0.7222222222222222
11,0.5833333333333334,0.5833333333333334
12,0.5555555555555556,0.5555555555555556
13,0.5555555555555555,0.5555555555555556
15,0.4444444444444444,0.4444444444444444
16,0.6944444444444445,0.6944444444444444
18,0.47222222222222215,0.4722222222222222
21,0.5,0.5
22,0.5277777777777778,0.5277777777777778
24,0.5555555555555555,0.5555555555555556
25,0.47222222222222227,0.4722222222222222
27,0.6111111111111112,0.6111111111111112
28,0.7222222222222222,0.7222222222222222
29,0.6388888888888888,0.6388888888888888
30,0.5277777777777778,0.5277777777777778
34,0.611111111111111,0.6111111111111112
36,0.4166666666666667,0.4166666666666667
37,0.6388888888888888,0.6388888888888888
41,0.5277777777777778,0.5277777777777778
42,0.7222222222222222,0.7222222222222222
43,0.7222222222222223,0.7222222222222222
44,0.6944444444444445,0.6944444444444444
45,0.4444444444444445,0.4444444444444444
46,0.27777777777777773,0.2777777777777778
47,0.638888888888889,0.6388888888888888
48,0.7222222222222223,0.7222222222222222
49,0.638888888888889,0.6388888888888888
52,0.638888888888889,0.6388888888888888
53,0.638888888888889,0.6388888888888888
55,0.3611111111111111,0.3611111111111111
56,0.47222222222222227,0.4722222222222222
57,0.5277777777777778,0.5277777777777778
58,0.5833333333333334,0.5833333333333334
59,0.75,0.75
60,0.47222222222222227,0.4722222222222222
63,0.5833333333333334,0.5833333333333334
