split,class,precision,recall,f1,support,modality
train_loso,NoPain,0.6951219512195121,0.6951219512195121,0.6951219512195121,492,bvp
train_loso,PainArm,0.4146341463414634,0.4146341463414634,0.4146341463414634,492,bvp
train_loso,PainHand,0.47560975609756095,0.47560975609756095,0.47560975609756095,492,bvp
validation,NoPain,0.6527777777777778,0.6527777777777778,0.6527777777777778,144,bvp
validation,PainArm,0.3819444444444444,0.3819444444444444,0.3819444444444444,144,bvp
validation,PainHand,0.4027777777777778,0.4027777777777778,0.4027777777777778,144,bvp
train_loso,NoPain,0.5975609756097561,0.5975609756097561,0.5975609756097561,492,eda
train_loso,PainArm,0.3333333333333333,0.3333333333333333,0.3333333333333333,492,eda
train_loso,PainHand,0.5040650406504065,0.5040650406504065,0.5040650406504065,492,eda
validation,NoPain,0.6388888888888888,0.6388888888888888,0.6388888888888888,144,eda
validation,PainArm,0.3680555555555556,0.3680555555555556,0.3680555555555556,144,eda
validation,PainHand,0.5208333333333334,0.5208333333333334,0.5208333333333334,144,eda
train_loso,NoPain,0.4166666666666667,0.4166666666666667,0.4166666666666667,492,resp
train_loso,PainArm,0.34959349593495936,0.34959349593495936,0.34959349593495936,492,resp
train_loso,PainHand,0.4105691056910569,0.4105691056910569,0.4105691056910569,492,resp
validation,NoPain,0.4305555555555556,0.4305555555555556,0.4305555555555556,144,resp
validation,PainArm,0.3472222222222222,0.3472222222222222,0.3472222222222222,144,resp
validation,PainHand,0.4236111111111111,0.4236111111111111,0.4236111111111111,144,resp
train_loso,NoPain,0.483739837398374,0.483739837398374,0.483739837398374,492,spo2
train_loso,PainArm,0.3780487804878049,0.3780487804878049,0.3780487804878049,492,spo2
train_loso,PainHand,0.4491869918699187,0.4491869918699187,0.4491869918699187,492,spo2
validation,NoPain,0.4861111111111111,0.4861111111111111,0.4861111111111111,144,spo2
validation,PainArm,0.3333333333333333,0.3333333333333333,0.3333333333333333,144,spo2
validation,PainHand,0.3680555555555556,0.3680555555555556,0.3680555555555556,144,spo2
train_loso,NoPain,0.7276422764227642,0.7276422764227642,0.7276422764227642,492,bvp_eda
train_loso,PainArm,0.47764227642276424,0.47764227642276424,0.47764227642276424,492,bvp_eda
train_loso,PainHand,0.49796747967479676,0.49796747967479676,0.49796747967479676,492,bvp_eda
validation,NoPain,0.7569444444444444,0.7569444444444444,0.7569444444444444,144,bvp_eda
validation,PainArm,0.4791666666666667,0.4791666666666667,0.4791666666666667,144,bvp_eda
validation,PainHand,0.4722222222222222,0.4722222222222222,0.4722222222222222,144,bvp_eda
train_loso,NoPain,0.7357723577235772,0.7357723577235772,0.7357723577235772,492,all
train_loso,PainArm,0.483739837398374,0.483739837398374,0.483739837398374,492,all
train_loso,PainHand,0.5182926829268293,0.5182926829268293,0.5182926829268293,492,all
validation,NoPain,0.7361111111111112,0.7361111111111112,0.7361111111111112,144,all
validation,PainArm,0.4444444444444444,0.4444444444444444,0.4444444444444444,144,all
validation,PainHand,0.4375,0.4375,0.4375,144,all
