split,subject,accuracy,balanced_accuracy,macro_f1,precision_nopain,recall_nopain
train_loso,1,0.5,0.5,0.5,0.5,0.5
train_loso,2,0.5,0.5,0.5,0.5,0.5
train_loso,4,0.5,0.5,0.5,0.5,0.5
train_loso,5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,6,0.5,0.5,0.5,0.5,0.5
train_loso,8,0.5,0.5,0.5,0.5,0.5
train_loso,11,0.5,0.5,0.5,0.5,0.5
train_loso,12,0.5,0.5,0.5,0.5,0.5
train_loso,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,15,0.5,0.5,0.5,0.5,0.5
train_loso,16,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
train_loso,21,0.5,0.5,0.5,0.5,0.5
train_loso,22,0.5,0.5,0.5,0.5,0.5
train_loso,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,25,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,27,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,28,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,29,0.5,0.5,0.5,0.5,0.5
train_loso,30,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,34,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,36,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,37,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,41,0.5,0.5,0.5,0.5,0.5
train_loso,42,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,43,0.5,0.5,0.5,0.5,0.5
train_loso,44,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,45,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,46,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,47,0.5,0.5,0.5,0.5,0.5
train_loso,48,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,49,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,52,0.5,0.5,0.5,0.5,0.5
train_loso,53,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,55,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
train_loso,56,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,57,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,58,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
train_loso,59,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
train_loso,60,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_loso,63,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
validation,7,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
validation,9,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
validation,10,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
validation,14,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
validation,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
validation,35,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
validation,38,0.5,0.5,0.5,0.5,0.5
validation,39,0.5,0.5,0.5,0.5,0.5
validation,40,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
validation,61,0.5,0.5,0.5,0.5,0.5
validation,62,0.5,0.5,0.5,0.5,0.5
validation,65,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
