variant,n_feats,s2_auc,loso_mean,loso_std,val_mean,val_std
resp_all,44,0.566092785493827,0.556910569105691,0.11282552689093636,0.576388888888889,0.0830170766579685
resp_top20,20,0.5603057484567902,0.5724932249322494,0.12651520683686848,0.5625,0.09184250047433504
bvp_only_top20,20,0.5210021219135802,0.5494579945799457,0.11275044057049494,0.5810185185185185,0.07440215643987147
eda_only_top20,20,0.5473572530864198,0.5535230352303524,0.10995759632723533,0.5555555555555556,0.10189010606985864
spo2_only_top20,20,0.4879677854938272,0.5616531165311653,0.108388909377303,0.5393518518518519,0.06952856857516007
bvp_eda_top30,30,0.5606433256172839,0.5718157181571816,0.11385087606747224,0.5578703703703703,0.10558102652106607
bvp_resp_top30,30,0.5758342978395061,0.5738482384823848,0.1208588344893922,0.5648148148148148,0.07139516080350179
eda_resp_top30,30,0.5738570601851852,0.5819783197831979,0.12059382705244776,0.5833333333333333,0.0862291468634539
all_top20,20,0.5561824845679013,0.5731707317073171,0.11895184236052658,0.5671296296296297,0.09285526714187796
all_top40,40,0.5729648919753086,0.5921409214092141,0.12990960538240143,0.5740740740740741,0.09426106181258864
all_top80,80,0.5573398919753086,0.5880758807588077,0.11400780360724606,0.5578703703703705,0.11140008718070338
bes_top30,30,0.5632957175925926,0.5691056910569106,0.1061609014982711,0.5740740740740741,0.08810682901097322
