strategy,model,subject,loso_macro_f1,val_macro_f1
subject_robust,logreg,1,0.5833333333333334,
subject_robust,logreg,2,0.5,
subject_robust,logreg,4,0.5,
subject_robust,logreg,5,0.75,
subject_robust,logreg,6,0.5833333333333334,
subject_robust,logreg,8,0.5833333333333334,
subject_robust,logreg,11,0.5,
subject_robust,logreg,12,0.4166666666666667,
subject_robust,logreg,13,0.4166666666666667,
subject_robust,logreg,15,0.5,
subject_robust,logreg,16,0.6666666666666666,
subject_robust,logreg,18,0.5,
subject_robust,logreg,21,0.6666666666666666,
subject_robust,logreg,22,0.5,
subject_robust,logreg,24,0.6666666666666666,
subject_robust,logreg,25,0.6666666666666666,
subject_robust,logreg,27,0.6666666666666666,
subject_robust,logreg,28,0.5833333333333334,
subject_robust,logreg,29,0.4166666666666667,
subject_robust,logreg,30,0.5833333333333334,
subject_robust,logreg,34,0.5833333333333334,
subject_robust,logreg,36,0.5833333333333334,
subject_robust,logreg,37,0.5,
subject_robust,logreg,41,0.5833333333333334,
subject_robust,logreg,42,0.6666666666666666,
subject_robust,logreg,43,0.5833333333333334,
subject_robust,logreg,44,0.5833333333333334,
subject_robust,logreg,45,0.5,
subject_robust,logreg,46,0.5,
subject_robust,logreg,47,0.6666666666666666,
subject_robust,logreg,48,0.5833333333333334,
subject_robust,logreg,49,0.6666666666666666,
subject_robust,logreg,52,0.5833333333333334,
subject_robust,logreg,53,0.6666666666666666,
subject_robust,logreg,55,0.3333333333333333,
subject_robust,logreg,56,0.4166666666666667,
subject_robust,logreg,57,0.5,
subject_robust,logreg,58,0.5,
subject_robust,logreg,59,0.75,
subject_robust,logreg,60,0.3333333333333333,
subject_robust,logreg,63,0.5833333333333334,
subject_robust,logreg,7,,0.3333333333333333
subject_robust,logreg,9,,0.5
subject_robust,logreg,10,,0.5
subject_robust,logreg,14,,0.6666666666666666
subject_robust,logreg,19,,0.5
subject_robust,logreg,35,,0.5
subject_robust,logreg,38,,0.5833333333333334
subject_robust,logreg,39,,0.5833333333333334
subject_robust,logreg,40,,0.6666666666666666
subject_robust,logreg,61,,0.5
subject_robust,logreg,62,,0.5
subject_robust,logreg,65,,0.4166666666666667
nopain_z,logreg,1,0.5833333333333334,
nopain_z,logreg,2,0.4166666666666667,
nopain_z,logreg,4,0.6666666666666666,
nopain_z,logreg,5,0.6666666666666666,
nopain_z,logreg,6,0.5,
nopain_z,logreg,8,0.5833333333333334,
nopain_z,logreg,11,0.5,
nopain_z,logreg,12,0.5833333333333334,
nopain_z,logreg,13,0.4166666666666667,
nopain_z,logreg,15,0.5833333333333334,
nopain_z,logreg,16,0.5833333333333334,
nopain_z,logreg,18,0.5,
nopain_z,logreg,21,0.5833333333333334,
nopain_z,logreg,22,0.5833333333333334,
nopain_z,logreg,24,0.5,
nopain_z,logreg,25,0.4166666666666667,
nopain_z,logreg,27,0.3333333333333333,
nopain_z,logreg,28,0.5833333333333334,
nopain_z,logreg,29,0.4166666666666667,
nopain_z,logreg,30,0.4166666666666667,
nopain_z,logreg,34,0.6666666666666666,
nopain_z,logreg,36,0.5833333333333334,
nopain_z,logreg,37,0.5833333333333334,
nopain_z,logreg,41,0.4166666666666667,
nopain_z,logreg,42,0.5833333333333334,
nopain_z,logreg,43,0.6666666666666666,
nopain_z,logreg,44,0.5833333333333334,
nopain_z,logreg,45,0.5,
nopain_z,logreg,46,0.4166666666666667,
nopain_z,logreg,47,0.5833333333333334,
nopain_z,logreg,48,0.5,
nopain_z,logreg,49,0.5,
nopain_z,logreg,52,0.5833333333333334,
nopain_z,logreg,53,0.5,
nopain_z,logreg,55,0.4166666666666667,
nopain_z,logreg,56,0.5,
nopain_z,logreg,57,0.5833333333333334,
nopain_z,logreg,58,0.4166666666666667,
nopain_z,logreg,59,0.75,
nopain_z,logreg,60,0.6666666666666666,
nopain_z,logreg,63,0.4166666666666667,
nopain_z,logreg,7,,0.5
nopain_z,logreg,9,,0.5833333333333334
nopain_z,logreg,10,,0.5833333333333334
nopain_z,logreg,14,,0.4166666666666667
nopain_z,logreg,19,,0.5833333333333334
nopain_z,logreg,35,,0.3333333333333333
nopain_z,logreg,38,,0.4166666666666667
nopain_z,logreg,39,,0.5
nopain_z,logreg,40,,0.5833333333333334
nopain_z,logreg,61,,0.5
nopain_z,logreg,62,,0.5833333333333334
nopain_z,logreg,65,,0.4166666666666667
