model,preprocessing,label_scheme,split_eval_type,mean_acc,std_acc,macro_f1_mean,macro_f1_std,balanced_acc_mean,n_folds,mean_f1_NoPain,mean_f1_PainArm,mean_f1_PainHand,notes,mean_f1_Pain
logreg,global,3class,loso_train,0.46070460704607047,0.09000506024785392,0.4170527287892045,0.12015814559180643,0.46070460704607047,41,0.5679034809781656,0.3088392604011656,0.37441544498828244,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
rf,global,3class,loso_train,0.4945799457994579,0.09883962415865487,0.44374487560223713,0.12486536449038298,0.4945799457994579,41,0.6751837628144831,0.33326472920817174,0.32278613478405654,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
xgb,global,3class,loso_train,0.47899728997289975,0.09333095396373484,0.4397010512174971,0.1142293724621151,0.47899728997289975,41,0.6653445775745571,0.3174376671047142,0.3363209089732199,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
logreg,subjectz,3class,loso_train,0.5792682926829268,0.11103486543860439,0.5749932839047011,0.10998204742854045,0.5792682926829268,41,0.7363323591893453,0.47583714326355203,0.5128103492612059,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
rf,subjectz,3class,loso_train,0.5508130081300814,0.1243660527869946,0.5413517498499942,0.12400059251933919,0.5508130081300814,41,0.7383853364611767,0.4533406639643733,0.43232924912443305,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
xgb,subjectz,3class,loso_train,0.5609756097560976,0.1083368076713392,0.5561411251964702,0.10659936812253927,0.5609756097560976,41,0.770712252946265,0.44687118111618546,0.45083994152696,"LOSO 41 folds, classes=['NoPain', 'PainArm', 'PainHand']",
logreg,global,binary,loso_train,0.6964769647696477,0.15433427374304007,0.6590790817726597,0.16686282404038055,0.6961382113821138,41,0.5987370852604543,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.7194210782848651
rf,global,binary,loso_train,0.7452574525745258,0.12122421436142997,0.6841915689216361,0.14291975290432593,0.693089430894309,41,0.5641507087848778,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.8042324290583945
xgb,global,binary,loso_train,0.7317073170731707,0.13488817901171793,0.688868818081721,0.13883728179077473,0.7052845528455285,41,0.6064632691273553,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.7712743670360866
logreg,subjectz,binary,loso_train,0.8184281842818427,0.100557389673192,0.8008806329985791,0.11121355722002882,0.8114837398373983,41,0.7430776431346877,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.8586836228624701
rf,subjectz,binary,loso_train,0.8191056910569107,0.10189598288408272,0.7811119773030425,0.12751762187586793,0.7723577235772358,41,0.6911419670190669,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.871081987587018
xgb,subjectz,binary,loso_train,0.8475609756097561,0.08917530920808585,0.8186725857336632,0.11090639266735572,0.8150406504065042,41,0.7481956296914486,,,"LOSO 41 folds, classes=['NoPain', 'Pain']",0.889149541775878
logreg,global,armhand,loso_train,0.5203252032520326,0.08287475449284494,0.47889205577011307,0.09858045914404116,0.5203252032520326,41,,0.45241880745101104,0.5053653040892151,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
rf,global,armhand,loso_train,0.48373983739837395,0.0912290923443443,0.44631239478295925,0.10768076191095684,0.48373983739837395,41,,0.4315349486373551,0.4610898409285634,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
xgb,global,armhand,loso_train,0.49085365853658536,0.09660567181360662,0.4666235624691337,0.09967838275269379,0.49085365853658536,41,,0.4658060682641335,0.46744105667413416,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
logreg,subjectz,armhand,loso_train,0.5609756097560975,0.10378996928209024,0.558943435496988,0.10357819847302009,0.5609756097560976,41,,0.5604881835104529,0.5573986874835232,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
rf,subjectz,armhand,loso_train,0.5304878048780488,0.11297138520589518,0.5244014358873655,0.11415510280628788,0.5304878048780487,41,,0.539318544092471,0.50948432768226,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
xgb,subjectz,armhand,loso_train,0.5203252032520326,0.08595963160450756,0.5148975491614443,0.08556542607700889,0.5203252032520326,41,,0.5137009889204396,0.5160941094024489,"LOSO 41 folds, classes=['PainArm', 'PainHand']",
