subject,n_features_big_effect,median_abs_effect,max_abs_effect,discriminable
1,72,0.2707767801198945,1.0379975759508229,True
2,72,0.23051395651883932,0.8849962380176324,True
4,159,0.30975826012350793,0.94505197973793,True
5,216,0.43792065320707585,1.1712820831431698,True
6,78,0.2612252699660562,0.8396313626952893,True
8,30,0.21719158867946822,0.7896012561301339,True
11,69,0.25096484492652693,1.0570857239775153,True
12,147,0.24032716124835524,0.9789450021998667,True
13,114,0.2547751422053902,1.4570368246170218,True
15,84,0.242799725333191,0.7491285373902786,True
16,90,0.24223909931718896,0.8156258259242244,True
18,105,0.36554797569052033,0.9505898318208937,True
21,102,0.33177551978263176,0.9515026165289433,True
22,90,0.2752004646344269,0.7416590804160976,True
24,135,0.25668602674220015,0.9429086763054916,True
25,150,0.391409977653721,0.7749525219277745,True
27,204,0.432684769846564,1.1741642128911516,True
28,132,0.2623292877960935,0.9949871253421526,True
29,213,0.4280035253481478,1.2534328182019925,True
30,108,0.24190289862226036,1.0012674646638897,True
34,132,0.286175874402216,1.4607762100950963,True
36,207,0.41903723313471636,1.1456931538535224,True
37,78,0.20746960796877895,0.9470012412211464,True
41,60,0.22193436905908795,0.8248675606926139,True
42,51,0.1671243092818957,0.9346889287084627,True
43,120,0.27101554411075557,1.0797615309827389,True
44,108,0.350275935966379,0.934688930305776,True
45,135,0.2306879527524122,1.2586452733821887,True
46,57,0.23231935654038977,0.8758815884772828,True
47,177,0.4205192599635679,1.0821570529235127,True
48,204,0.37158128989395695,1.1599396278907144,True
49,90,0.23053147322448553,0.8292300112811334,True
52,78,0.17832124196176158,1.069427933790106,True
53,75,0.211400803874287,0.8597655563955849,True
55,78,0.285995598115211,1.1059136543772077,True
56,168,0.3464275040961022,1.1362221559507482,True
57,69,0.20691883767178346,0.7496704457186929,True
58,105,0.2632898651395138,0.9354018630445281,True
59,219,0.4856909655078687,0.929994060066112,True
60,60,0.27649941972350445,0.8330193561627066,True
63,48,0.24498091763873076,0.8516738420547588,True
